iter	Logloss
0	0.6926769283
1	0.6922936218
2	0.6918428138
3	0.6915026917
4	0.6910388008
5	0.6906625015
6	0.6903019818
7	0.6899777741
8	0.6895920342
9	0.6892455112
10	0.6888314288
11	0.6884513555
12	0.6879987549
13	0.6876275639
14	0.6872919541
15	0.6869038437
16	0.6864867511
17	0.6861627686
18	0.6857940824
19	0.6853499364
20	0.6850067665
21	0.6845769942
22	0.6842554227
23	0.6838902308
24	0.6835601814
25	0.6831589318
26	0.6828173494
27	0.6825415621
28	0.6822535317
29	0.6819460778
30	0.6816102512
31	0.6812984639
32	0.6809549934
33	0.6806265908
34	0.6802897111
35	0.6800258292
36	0.6797175796
37	0.6794593206
38	0.6791726351
39	0.6788657252
40	0.6785795518
41	0.6782321457
42	0.6779160465
43	0.6776343717
44	0.6773710392
45	0.6771013699
46	0.6767846297
47	0.6764290409
48	0.6761136485
49	0.675827929
50	0.675555413
51	0.6752530396
52	0.6750059035
53	0.6747550056
54	0.6744236291
55	0.6741060877
56	0.6738148117
57	0.6735488382
58	0.6732857741
59	0.6730283155
60	0.672807349
61	0.6725711998
62	0.6723316674
63	0.6720174541
64	0.6717633139
65	0.6715191951
66	0.6712872466
67	0.6710622547
68	0.6708010202
69	0.6705831251
70	0.6703048953
71	0.6700458614
72	0.6697344924
73	0.6694519897
74	0.6691827995
75	0.6688975641
76	0.6687124632
77	0.6684744164
78	0.6682709394
79	0.6679741909
80	0.6677713413
81	0.6675617154
82	0.667286654
83	0.6670682444
84	0.6668536098
85	0.6665902696
86	0.6663599793
87	0.6660944841
88	0.665799246
89	0.6656510191
90	0.6653935732
91	0.6651772688
92	0.6649422897
93	0.6646831452
94	0.6644866763
95	0.6642670248
96	0.6640636424
97	0.663876172
98	0.6636502812
99	0.6634367874
100	0.6632204455
101	0.6630115103
102	0.6628044553
103	0.6625962823
104	0.6624297165
105	0.6622079402
106	0.6620531887
107	0.6618497259
108	0.661677182
109	0.6615458953
110	0.6613444492
111	0.6611389377
112	0.6609684732
113	0.6607690343
114	0.6605540573
115	0.6603786088
116	0.6601338249
117	0.6599290131
118	0.65972984
119	0.6595085919
120	0.6592917135
121	0.6591038863
122	0.6589104078
123	0.6586894687
124	0.6585180368
125	0.6583623789
126	0.6581397799
127	0.6579745549
128	0.6578067119
129	0.6576290015
130	0.657456007
131	0.6572245723
132	0.6570445667
133	0.6569084619
134	0.6567842252
135	0.6566266733
136	0.6564712855
137	0.6562852962
138	0.6561264504
139	0.6559606534
140	0.6557916877
141	0.6556331772
142	0.6554887785
143	0.6553270411
144	0.6551581077
145	0.6549770969
146	0.6548403569
147	0.6546789293
148	0.6545111817
149	0.6543294575
150	0.6541709945
151	0.6540027993
152	0.6538416289
153	0.6536640665
154	0.6534751324
155	0.6532689997
156	0.6531089577
157	0.652960587
158	0.65280451
159	0.6526944579
160	0.6525353124
161	0.6523759017
162	0.6522389269
163	0.6521490093
164	0.6520175127
165	0.6517983745
166	0.6516384013
167	0.6514651096
168	0.6513170247
169	0.6511841337
170	0.6510533323
171	0.650917153
172	0.6508142546
173	0.6506565757
174	0.6505072315
175	0.6503615192
176	0.650186975
177	0.6500404275
178	0.6498452958
179	0.6497151419
180	0.6495741152
181	0.6494186867
182	0.6492879213
183	0.6491444093
184	0.6490096044
185	0.648969796
186	0.6488390024
187	0.6486527033
188	0.6484746584
189	0.6483705497
190	0.6482157467
191	0.6481409816
192	0.6479931844
193	0.6478589973
194	0.6476914144
195	0.6475367166
196	0.6473884841
197	0.6472564717
198	0.6471303333
199	0.6469794106
200	0.646837792
201	0.6467114177
202	0.6465718816
203	0.6464376548
204	0.6463180652
205	0.6461359339
206	0.6459889812
207	0.6458737092
208	0.6457349483
209	0.6455827937
210	0.6454281587
211	0.6452420215
212	0.6451273387
213	0.6449835745
214	0.6448792624
215	0.64477955
216	0.6446171425
217	0.6444953557
218	0.644361091
219	0.6442500413
220	0.6441262696
221	0.6440035735
222	0.6438933506
223	0.6437672565
224	0.6436532666
225	0.6435058752
226	0.6434176812
227	0.6432624546
228	0.6431541215
229	0.6430221398
230	0.6429430313
231	0.6428209548
232	0.6427042881
233	0.6425716833
234	0.6424648239
235	0.6422946764
236	0.6421667256
237	0.642047986
238	0.641933513
239	0.6418173549
240	0.6416954742
241	0.64157878
242	0.6414543403
243	0.6413608125
244	0.6412522553
245	0.6411303463
246	0.6410042013
247	0.6408688088
248	0.6407547902
249	0.6406316819
250	0.6405440156
251	0.6404239877
252	0.6403205491
253	0.6402304427
254	0.6401209905
255	0.6399682312
256	0.639900638
257	0.6397758744
258	0.6396281649
259	0.6394894463
260	0.6393569742
261	0.6392621288
262	0.6391643454
263	0.6390470737
264	0.6389230942
265	0.6388006341
266	0.6387027378
267	0.6386039428
268	0.6385001234
269	0.638370059
270	0.638271247
271	0.6381578605
272	0.6380614403
273	0.6379253305
274	0.6378385623
275	0.6377307591
276	0.6376414758
277	0.6375357477
278	0.6374403661
279	0.6373658313
280	0.6372414373
281	0.637144575
282	0.6370162923
283	0.6369210237
284	0.6368054844
285	0.6367417827
286	0.6366159014
287	0.6364717772
288	0.6363648093
289	0.6362756319
290	0.6361789962
291	0.636062658
292	0.6359541516
293	0.6358468584
294	0.6357276517
295	0.6355826482
296	0.6354969053
297	0.6353820919
298	0.6352818009
299	0.6351887468
300	0.6350761432
301	0.6349595156
302	0.6348750355
303	0.6347663758
304	0.6346538009
305	0.6345763373
306	0.6344577961
307	0.6343574325
308	0.6342534578
309	0.6341327063
310	0.6340670562
311	0.6339796114
312	0.6338709736
313	0.6338043168
314	0.6337100189
315	0.6336216665
316	0.6335366802
317	0.6334709968
318	0.6334080997
319	0.6333208078
320	0.6332378402
321	0.6331284486
322	0.6330457007
323	0.6329505911
324	0.6328726715
325	0.6327712022
326	0.6326676842
327	0.6325720534
328	0.6324722711
329	0.6323807246
330	0.6322882183
331	0.6321960191
332	0.6321030422
333	0.6319974344
334	0.6319050358
335	0.6317968665
336	0.6316901825
337	0.631606765
338	0.6315026869
339	0.6314070498
340	0.6313113625
341	0.6312266811
342	0.6311284001
343	0.6310170561
344	0.6309425348
345	0.63082365
346	0.6307373773
347	0.6306746101
348	0.6306230766
349	0.6305315644
350	0.6304434638
351	0.6303744618
352	0.6302785176
353	0.6301782962
354	0.6301019088
355	0.630024788
356	0.6299654162
357	0.6298573634
358	0.6297871368
359	0.6296949315
360	0.6296149036
361	0.6295382039
362	0.6294788876
363	0.6293923612
364	0.6292964972
365	0.6292187403
366	0.6291227128
367	0.6290312673
368	0.6289513198
369	0.6288586923
370	0.6287928454
371	0.6287261766
372	0.6286369886
373	0.6285805465
374	0.628475754
375	0.6283789172
376	0.6283112442
377	0.6282068515
378	0.6281527511
379	0.6280760925
380	0.6279910387
381	0.6279129885
382	0.6278364399
383	0.6277512042
384	0.6276554086
385	0.6275744884
386	0.6274983746
387	0.6274075894
388	0.6273394287
389	0.6272385673
390	0.6271585651
391	0.6270865227
392	0.6270347593
393	0.6269703917
394	0.6268907803
395	0.6268175113
396	0.6267450348
397	0.626663282
398	0.6265694972
399	0.62649003
400	0.626402209
401	0.6262861436
402	0.6262192049
403	0.6261662944
404	0.6260830592
405	0.6260049821
406	0.625945132
407	0.6258477816
408	0.6257809189
409	0.6257056258
410	0.6256478776
411	0.6255850828
412	0.6255392176
413	0.6254876228
414	0.6253907253
415	0.6253276267
416	0.6252555669
417	0.6252058093
418	0.6251046436
419	0.6250247534
420	0.6249572774
421	0.62491367
422	0.6248576038
423	0.6247885174
424	0.6247397673
425	0.6246852514
426	0.6246211875
427	0.6245483026
428	0.6244644013
429	0.6243864956
430	0.6243095689
431	0.6242402763
432	0.6241557754
433	0.6240930625
434	0.624022134
435	0.6239685384
436	0.623908634
437	0.6238273028
438	0.62375573
439	0.6236939309
440	0.6236291156
441	0.6235791343
442	0.6235111719
443	0.6234564079
444	0.6233834964
445	0.6233153321
446	0.6232569654
447	0.6231840458
448	0.6231111049
449	0.623057308
450	0.6229988415
451	0.6229477563
452	0.6228721724
453	0.622823563
454	0.6227758921
455	0.6227180026
456	0.6226547929
457	0.6226026461
458	0.622544716
459	0.6224751237
460	0.6224236013
461	0.6223555594
462	0.6223026588
463	0.6222224996
464	0.6221755254
465	0.6221070959
466	0.6220226502
467	0.6219652209
468	0.621894551
469	0.6218009865
470	0.6217351965
471	0.6216843638
472	0.6216282059
473	0.621575577
474	0.6215312745
475	0.6214741742
476	0.6214130148
477	0.621348579
478	0.6212762077
479	0.6212087789
480	0.6211151675
481	0.6210544104
482	0.6210028517
483	0.6209323796
484	0.6208716289
485	0.6207918881
486	0.6207093652
