iter	Passed	Remaining
0	207	207638
1	359	179386
2	766	254863
3	923	229918
4	1269	252556
5	1467	243153
6	1806	256203
7	1935	240017
8	2082	229336
9	2276	225345
10	2435	219004
11	2529	208299
12	2619	198843
13	2766	194871
14	2872	188627
15	2970	182675
16	3126	180780
17	3280	178992
18	3637	187784
19	4020	197004
20	4155	193705
21	4356	193684
22	4579	194528
23	4778	194343
24	4972	193915
25	5069	189909
26	5161	185990
27	5340	185380
28	5499	184147
29	5667	183259
30	5835	182417
31	6003	181607
32	6199	181650
33	6372	181039
34	6532	180101
35	6749	180735
36	6880	179086
37	6995	177102
38	7163	176503
39	7365	176772
40	7752	181326
41	8165	186259
42	8401	186976
43	8603	186922
44	8793	186609
45	8997	186594
46	9092	184356
47	9196	182403
48	9409	182614
49	9552	181488
50	9728	181022
51	9850	179574
52	10016	178975
53	10159	177980
54	10345	177759
55	10457	176284
56	10713	177245
57	10854	176293
58	11002	175487
59	11144	174595
60	11327	174373
61	11447	173186
62	11635	173048
63	11784	172348
64	11950	171900
65	12072	170848
66	12215	170109
67	12359	169399
68	12569	169600
69	12702	168757
70	12836	167955
71	12991	167446
72	13170	167244
73	13282	166205
74	13399	165255
75	13624	165648
76	13853	166062
77	14093	166597
78	14289	166595
79	14414	165766
80	14505	164579
81	14603	163489
82	14738	162834
83	14823	161645
84	14927	160686
85	15054	160000
86	15151	158998
87	15255	158098
88	15400	157641
89	15549	157223
90	15719	157017
91	15804	155987
92	15896	155033
93	16049	154690
94	16144	153793
95	16247	152997
96	16390	152581
97	16550	152329
98	16706	152045
99	16809	151284
100	16897	150407
101	17046	150074
102	17141	149277
103	17238	148516
104	17374	148100
105	17554	148053
106	17686	147607
107	17778	146840
108	17854	145950
109	17996	145605
110	18090	144886
111	18174	144097
112	18301	143661
113	18394	142961
114	18555	142797
115	18679	142352
116	18844	142222
117	18937	141548
118	19038	140947
119	19162	140525
120	19244	139798
121	19328	139102
122	19490	138971
123	19594	138423
124	19717	138025
125	19844	137648
126	19925	136968
127	20047	136574
128	20137	135969
129	20246	135498
130	20329	134856
131	20479	134666
132	20586	134202
133	20678	133639
134	20819	133396
135	20912	132854
136	21020	132411
137	21122	131940
138	21233	131522
139	21314	130934
140	21436	130598
141	21654	130842
142	21994	131812
143	22089	131307
144	22174	130755
145	22295	130415
146	22381	129871
147	22463	129316
148	22657	129409
149	22756	128955
150	22834	128387
151	22958	128083
152	23047	127592
153	23141	127130
154	23258	126797
155	23351	126335
156	23426	125789
157	23578	125651
158	23686	125286
159	23773	124812
160	23901	124557
161	23993	124116
162	24085	123677
163	24205	123389
164	24299	122971
165	24379	122485
166	24528	122349
167	24644	122047
168	24720	121556
169	24854	121350
170	24939	120904
171	25018	120436
172	25148	120219
173	25239	119813
174	25327	119399
175	25448	119144
176	25590	118987
177	25726	118805
178	25830	118471
179	25922	118092
180	26033	117797
181	26127	117431
182	26215	117040
183	26339	116807
184	26424	116409
185	26512	116028
186	26695	116061
187	26779	115665
188	26872	115308
189	26988	115054
190	27075	114680
191	27174	114359
192	27290	114109
193	27370	113715
194	27469	113397
195	27635	113360
196	27735	113055
197	27832	112734
198	27957	112531
199	28048	112193
200	28157	111929
201	28274	111699
202	28356	111329
203	28476	111112
204	28619	110986
205	28752	110823
206	28862	110570
207	28940	110196
208	29054	109961
209	29167	109726
210	29252	109384
211	29364	109146
212	29457	108841
213	29533	108473
214	29705	108458
215	29816	108221
216	29900	107888
217	30017	107677
218	30114	107395
219	30202	107082
220	30318	106868
221	30406	106560
222	30490	106237
223	30634	106127
224	30757	105942
225	30837	105610
226	30962	105435
227	31054	105147
228	31176	104966
229	31270	104689
230	31389	104494
231	31468	104171
232	31581	103963
233	31725	103851
234	31891	103817
235	32005	103609
236	32108	103369
237	32228	103186
238	32341	102979
239	32465	102808
240	32557	102534
241	32740	102551
242	32876	102417
243	32991	102220
244	33078	101935
245	33226	101841
246	33357	101693
247	33443	101410
248	33539	101157
249	33714	101142
250	33799	100858
251	33889	100593
252	34022	100454
253	34116	100201
254	34209	99945
255	34338	99795
256	34421	99515
257	34527	99300
258	34642	99111
259	35007	99635
260	35197	99658
261	35326	99508
262	35419	99256
263	35511	99001
264	35634	98834
265	35795	98772
266	35941	98670
267	36022	98389
268	36126	98172
